id	external_id	link
SPCC736.11.1	GO:0031048	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031048">GO:0031048</a>
SPCC736.11.1	GO:0033168	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033168">GO:0033168</a>
SPCC736.11.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.12c.1	GO:0033620	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033620">GO:0033620</a>
SPCC736.12c.1	GO:0003723	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003723">GO:0003723</a>
SPCC736.12c.1	GO:0033621	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033621">GO:0033621</a>
SPCC736.12c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.14.1	GO:0051315	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0051315">GO:0051315</a>
SPCC736.14.1	GO:0008017	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008017">GO:0008017</a>
SPCC736.11.1	GO:0031618	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031618">GO:0031618</a>
SPCC1020.10.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC1739.03.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.14.1	GO:0015630	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0015630">GO:0015630</a>
SPCC736.08.1	GO:0000978	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000978">GO:0000978</a>
SPAC6F12.09.1	GO:0034613	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0034613">GO:0034613</a>
SPCC736.11.1	GO:0000122	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000122">GO:0000122</a>
SPAC140.03.1	GO:0008428	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008428">GO:0008428</a>
SPCC736.14.1	GO:0000778	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000778">GO:0000778</a>
SPCC553.01c.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC553.02.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC553.03.1	GO:0005737	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005737">GO:0005737</a>
SPCC553.03.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC553.04.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC553.06.1	GO:0005783	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005783">GO:0005783</a>
SPCC553.07c.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC553.07c.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC553.08c.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC553.09c.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC553.09c.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC736.04c.1	GO:0005794	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005794">GO:0005794</a>
SPCC736.06.1	GO:0005739	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005739">GO:0005739</a>
SPCC736.07c.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC736.08.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.08.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC736.09c.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.09c.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC736.10c.1	GO:0005739	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005739">GO:0005739</a>
SPCC736.11.1	GO:0005829	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005829">GO:0005829</a>
SPCC736.12c.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.14.1	GO:0005634	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005634">GO:0005634</a>
SPCC736.14.1	GO:0005737	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005737">GO:0005737</a>
SPCC553.01c.1	GO:0044732	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0044732">GO:0044732</a>
SPCC736.14.1	GO:0044732	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0044732">GO:0044732</a>
SPCC553.05c.1	GO:0016021	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0016021">GO:0016021</a>
SPCC553.02.1	GO:0005524	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005524">GO:0005524</a>
SPCC553.03.1	GO:0005524	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005524">GO:0005524</a>
SPCC553.04.1	GO:0000413	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000413">GO:0000413</a>
SPCC553.04.1	GO:0003755	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003755">GO:0003755</a>
SPCC553.04.1	GO:0006457	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006457">GO:0006457</a>
SPCC553.06.1	GO:0016021	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0016021">GO:0016021</a>
SPCC553.07c.1	GO:0003684	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003684">GO:0003684</a>
SPCC553.07c.1	GO:0003887	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003887">GO:0003887</a>
SPCC553.07c.1	GO:0046872	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0046872">GO:0046872</a>
SPCC553.08c.1	GO:0005525	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005525">GO:0005525</a>
SPCC553.09c.1	GO:0003677	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003677">GO:0003677</a>
SPCC553.09c.1	GO:0003887	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003887">GO:0003887</a>
SPCC736.03c.1	GO:0000049	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000049">GO:0000049</a>
SPCC736.03c.1	GO:0000287	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000287">GO:0000287</a>
SPCC736.03c.1	GO:0005524	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005524">GO:0005524</a>
SPCC736.03c.1	GO:0008033	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008033">GO:0008033</a>
SPCC736.08.1	GO:0007155	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0007155">GO:0007155</a>
SPCC736.09c.1	GO:0043565	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043565">GO:0043565</a>
SPCC736.11.1	GO:0000784	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000784">GO:0000784</a>
SPCC736.06.1	GO:0005524	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005524">GO:0005524</a>
SPCC736.04c.1	GO:0016021	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0016021">GO:0016021</a>
SPCC736.05.1	GO:0016021	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0016021">GO:0016021</a>
SPCC736.12c.1	GO:0033620	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033620">GO:0033620</a>
